"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1822","TC_01 Sign Up successfully","chromium","2026-09-11","passed","2026-09-11","","Signup.spec.js","",""
"","6875","TC_10 Login and logout","chromium","2026-09-11","passed","2026-09-11","","Logout.spec.js","",""
"","8969","TC_03 Login with valid credentials","chromium","2026-09-11","passed","2026-09-11","","Login.spec.js","",""
"","12280","TC_08 Purchase a product under Phones category","chromium","2026-09-11","passed","2026-09-11","","PlaceOrder.spec.js","",""
"","3268","TC_05 Login with invalid password","chromium","2026-09-11","passed","2026-09-11","","Login.spec.js","",""
"","9342","TC_07 Add a product to cart","chromium","2026-09-11","passed","2026-09-11","","PlaceOrder.spec.js","",""
"","3231","TC_04 Login with invalid username","chromium","2026-09-11","passed","2026-09-11","","Login.spec.js","",""
"","1670","TC_02 Close without signing up","chromium","2026-09-11","passed","2026-09-11","","Signup.spec.js","",""
"","10319","TC_09 Purchase a product under Monitors category","chromium","2026-09-11","passed","2026-09-11","","PlaceOrder.spec.js","",""
"","2767","TC_06 Login with invalid username and password","chromium","2026-09-11","passed","2026-09-11","","Login.spec.js","",""
